,2016,2023,2026,2044,2054,2055,2110,2112,2287,2293,2295,2297,2307,2316,2319,2328,2329,2342,2343,2349,2355
1017,3.4744,0.9477,3.4688,0.9624,3.4679,0.998,0.9662,3.4666,3.4792,3.4651,3.4725,3.4684,0.9557,0.4766,0.9665,1.0042,0.9654,3.4728,3.4839,1.0013,1.0534
1022,0.8076,3.4053,0.8279,3.3517,0.2136,3.4557,3.3376,0.836,3.3124,3.3415,3.3146,3.3295,3.3762,3.4296,3.3366,3.4618,3.423,3.3132,3.3171,3.4589,3.5111
1023,0.8407,3.4126,0.2253,3.3589,0.8387,3.4629,3.3449,0.8433,3.3455,3.3488,3.3388,3.3368,3.3835,3.4369,3.3439,3.4691,3.4303,3.3392,3.3503,3.4662,3.5183
1048,3.3724,0.9141,3.3669,0.8604,3.3659,0.9644,0.8642,3.3646,3.3772,3.3631,3.3705,3.3664,0.885,0.9384,0.8645,0.9706,0.9317,3.3709,3.3819,0.3505,1.0198
1055,3.6069,1.0802,3.6013,1.0949,3.6004,1.0665,1.0987,3.5991,3.6117,3.5976,3.605,3.6009,1.0882,1.0736,0.6343,1.0727,1.0754,3.6054,3.6164,1.0697,1.1219
1108,3.3548,0.9144,3.3493,0.8607,3.3483,0.9647,0.8466,3.3471,3.3596,3.3506,3.3529,3.3488,0.8853,0.9387,0.8469,0.3552,0.9321,3.3533,3.3644,0.968,1.0201
1112,3.3779,3.4477,3.3723,3.394,3.3738,3.498,3.38,3.3784,0.8827,0.8839,0.876,0.8719,3.4186,3.472,3.379,3.5042,3.4654,0.8763,0.2499,3.5013,3.5534
1115,0.8594,3.4269,0.8539,3.3732,0.8529,3.4772,3.3591,0.2637,3.3642,3.3631,3.3575,3.3534,3.3978,3.4512,3.3582,3.4834,3.4445,3.3579,3.369,3.4804,3.5326
1116,0.1383,3.4347,0.8676,3.381,0.8667,3.485,3.3669,0.8654,3.378,3.3709,3.3712,3.3672,3.4056,3.459,3.366,3.4912,3.4524,3.3716,3.3827,3.4883,3.5404
1149,3.6898,1.1631,3.6842,1.1778,3.6833,1.1494,0.457,3.682,3.6946,3.6805,3.6879,3.6838,1.1711,1.1565,1.1819,1.1477,1.1583,3.6883,3.6993,1.1485,1.1343
1150,3.3249,3.4226,3.3452,3.369,3.3487,3.473,3.3549,3.3533,0.8072,0.8588,0.8318,0.2256,3.3935,3.4469,3.3539,3.4791,3.4403,0.8305,0.8119,3.4762,3.5283
1152,3.6079,1.0812,3.6023,0.5726,3.6014,1.0675,1.0997,3.6001,3.6127,3.5986,3.606,3.6019,1.0891,1.0746,1.0999,1.0695,1.0764,3.6063,3.6174,1.0666,1.1188
1181,3.3748,0.9356,3.3693,0.8819,3.3683,0.9859,0.8678,3.367,3.3796,3.3718,3.3729,3.3688,0.9065,0.9599,0.8669,0.9921,0.9533,3.3733,3.3843,0.9892,0.4581
1226,3.5471,1.0204,3.5416,1.0351,3.5406,1.0483,1.0389,3.5393,3.5519,3.5378,3.5452,3.5411,0.5998,1.0223,1.0392,1.0545,1.0156,3.5456,3.5566,1.0515,1.1037
1227,3.5797,0.6502,3.5741,1.0676,3.5732,1.0724,1.0715,3.5719,3.5845,3.5704,3.5778,3.5737,1.0609,1.0464,1.0717,1.0786,1.0482,3.5781,3.5892,1.0756,1.1278
1236,3.3098,3.4076,3.3302,3.3539,3.3337,3.4579,3.3399,3.3383,0.7922,0.8438,0.8168,0.8318,3.3785,3.4319,3.3389,3.4641,3.4253,0.1854,0.7749,3.4612,3.5133
1237,3.4901,1.0005,3.4846,0.9781,3.4836,0.6049,0.9819,3.4824,3.4949,3.4809,3.4882,3.4841,0.9714,1.0248,0.9822,1.057,1.0182,3.4886,3.4997,1.0541,1.1062
1265,3.6284,1.1017,3.6228,1.1163,3.6219,1.088,1.1202,3.6206,3.6332,3.6191,3.6265,3.6224,1.1096,1.0951,1.1204,1.0863,0.5658,3.6268,3.6379,1.0871,1.1355
1375,3.3894,3.4783,3.4008,3.4246,3.4043,3.5286,3.4105,3.409,0.3426,0.9145,0.8875,0.9024,3.4492,3.5026,3.4096,3.5348,3.4959,0.8879,0.8989,3.5318,3.584
1681,3.3847,3.4754,3.3979,3.4217,3.4014,3.5257,3.4076,3.406,0.8895,0.3937,0.8846,0.8995,3.4462,3.4997,3.4066,3.5319,3.493,0.8832,0.8943,3.5289,3.5811
1685,3.4344,3.4889,3.4289,3.4353,3.4279,3.5393,3.4262,3.4266,0.9392,0.9251,0.3717,0.9284,3.4598,3.5132,3.4265,3.5455,3.5066,0.9329,0.9439,3.5425,3.5947
