Pilotcode,Avg_Distance,Avg_Duration,Total_Distance,Shift_Count,StationCode
1017,127.94347826086955,9.441702898550725,2942.7,23,504
1022,99.78571428571429,8.803055555555556,1397.0,14,503
1023,105.64230769230768,8.873450854700856,2746.7,26,503
1048,112.48636363636363,8.66864898989899,2474.7,22,504
1055,142.4375,11.666423611111112,3418.5,24,504
1108,108.43076923076923,8.838418803418802,1409.6,13,504
1112,106.10384615384615,10.28241452991453,2758.7,26,511
1115,106.64642857142857,9.414603174603174,2986.1,28,503
1116,107.984,9.681088888888889,2699.6,25,503
1149,158.38846153846154,11.556217948717947,4118.1,26,504
1150,94.7,9.701678743961352,2178.1,23,511
1152,143.368,11.503222222222224,3584.2,25,504
1181,108.15384615384616,9.71102564102564,2812.0,26,504
1226,133.03125,11.288315972222222,2128.5,16,504
1227,134.94,12.195077777777778,3373.5,25,504
1236,89.71739130434783,9.283031400966184,2063.5,23,511
1237,119.56153846153846,11.910064102564103,3108.6,26,504
1265,144.2153846153846,12.151250000000001,3749.6,26,504
1375,101.8,11.690222222222221,2036.0,20,511
1681,101.40344827586206,11.587001915708813,2940.7,29,511
1685,109.568,11.825277777777778,2739.2,25,511
