Date,Pilotcode,VehicleCode,StationCode,StartTime,EndTime,Distance,Total,,,,,,collection
06-06-2024,1116,2112,503,8:35:55,18:08:36,110.5,1209,,,,,,
06-06-2024,1685,2293,511,8:16:22,20:16:03,110.5,1215,,,,,,
06-06-2024,1375,2295,511,8:06:11,19:18:53,83.7,926,,,,,,
06-06-2024,1112,2297,511,7:54:34,19:18:33,109.6,1206,,,,,,
06-06-2024,1265,2328,504,8:23:23,19:51:16,152.1,1623,,,,,,
06-06-2024,1681,2342,511,7:44:06,19:50:21,97.9,1077,,,,,,
06-06-2024,1152,2349,504,7:39:58,20:52:01,170.8,1742,,,,,,
06-06-2024,1149,2355,504,7:39:43,17:15:13,135.6,1411,,,,,,
06-06-2024,1227,2316,504,9:34:06,22:03:30,130.9,1516,,,,,,
06-06-2024,1181,2319,504,9:34:14,18:48:41,102.6,1233,,,,,,
06-06-2024,1236,2343,511,9:05:26,19:09:52,94.8,857,,,,,,
07-06-2024,1237,2307,504,6:37:01,20:00:42,119,1309,,,,,,
07-06-2024,1017,2023,504,8:08:33,18:22:25,124.3,1246,,,,,,
07-06-2024,1023,2026,503,8:36:27,16:44:15,113.1,1304,,,,,,
07-06-2024,1048,2044,504,8:00:50,10:24:40,36.4,313,,,,,,
07-06-2024,1115,2054,503,8:04:45,17:56:47,113.8,1238,,,,,,
07-06-2024,1055,2055,504,8:24:41,22:04:40,186.2,2102,,,,,,
07-06-2024,1116,2112,503,8:26:19,17:32:59,120.7,1202,,,,,,
07-06-2024,1150,2287,511,8:38:52,19:10:28,122.5,1298,,,,,,
07-06-2024,1685,2293,511,8:56:13,19:53:13,98.2,1080,,,,,,
07-06-2024,1375,2295,511,7:26:19,19:20:55,109.5,1114,,,,,,
07-06-2024,1112,2297,511,8:26:14,18:40:13,114.3,1257,,,,,,
07-06-2024,1265,2328,504,7:51:09,21:23:52,129.7,1611,,,,,,
07-06-2024,1681,2342,511,8:17:38,19:14:59,91.2,1003,,,,,,
07-06-2024,1152,2349,504,7:35:34,13:35:51,74.3,783,,,,,,
07-06-2024,1227,2316,504,9:57:50,21:14:44,129.7,1343,,,,,,
07-06-2024,1181,2319,504,9:27:06,18:02:37,94.1,1210,,,,,,
07-06-2024,1236,2343,511,9:20:11,18:29:14,88.6,881,,,,,,
08-06-2024,1375,2295,511,7:16:17,19:49:48,99.3,1193,,,,,,
08-06-2024,1237,2307,504,6:42:31,20:51:57,170.5,1875,,,,,,
08-06-2024,1227,2316,504,7:23:36,19:23:55,120.9,1206,,,,,,
08-06-2024,1152,2349,504,6:54:58,19:53:32,151.9,1646,,,,,,
08-06-2024,1017,2023,504,7:42:42,19:16:59,128.7,1229,,,,,,
08-06-2024,1023,2026,503,9:01:35,18:19:38,115.1,1201,,,,,,
08-06-2024,1048,2044,504,7:30:45,14:57:57,82.8,1216,,,,,,
08-06-2024,1115,2054,503,8:16:14,18:08:39,123.4,1321,,,,,,
08-06-2024,1055,2055,504,8:05:57,11:34:40,51.7,481,,,,,,
08-06-2024,1116,2112,503,8:35:39,17:54:20,130.2,1220,,,,,,
